Expediente,Fecha,Nombre,Link
FCB 32023375/2012,13/07/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3441506&tipo=corrupcion-administrativa
CFP 13816/2018,13/10/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=14068982&tipo=corrupcion-administrativa
CFP 13816/2018,06/10/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=14047856&tipo=corrupcion-administrativa
CFP 13816/2018,11/09/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13958254&tipo=corrupcion-administrativa
CFP 13816/2018,08/09/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13942261&tipo=corrupcion-administrativa
CFP 13816/2018,16/07/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13790615&tipo=corrupcion-administrativa
CFP 13816/2018,12/07/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12812153&tipo=corrupcion-administrativa
CFP 13816/2018,04/07/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12791816&tipo=corrupcion-administrativa
CFP 13816/2018,22/05/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12665883&tipo=corrupcion-administrativa
CFP 13816/2018,09/05/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12678918&tipo=corrupcion-administrativa
CFP 13816/2018,06/05/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12615330&tipo=corrupcion-administrativa
CFP 13816/2018,17/04/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12561909&tipo=corrupcion-administrativa
CFP 13816/2018,10/04/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12540730&tipo=corrupcion-administrativa
CFP 13816/2018,26/03/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12508722&tipo=corrupcion-administrativa
CFP 13816/2018,29/02/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12432206&tipo=corrupcion-administrativa
CFP 13816/2018,19/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12309616&tipo=corrupcion-administrativa
CFP 13816/2018,12/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12289126&tipo=corrupcion-administrativa
CFP 13816/2018,12/12/2023,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12288336&tipo=corrupcion-administrativa
CFP 13816/2018,09/06/2023,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11772827&tipo=corrupcion-administrativa
CFP 13816/2018,29/12/2022,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11352798&tipo=corrupcion-administrativa
CFP 13816/2018,03/03/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9688294&tipo=corrupcion-administrativa
CFP 13816/2018,17/12/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9590679&tipo=corrupcion-administrativa
CFP 13816/2018,01/12/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557323&tipo=corrupcion-administrativa
CFP 13816/2018,01/12/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557273&tipo=corrupcion-administrativa
CFP 13816/2018,01/12/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557268&tipo=corrupcion-administrativa
CFP 13816/2018,01/12/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557321&tipo=corrupcion-administrativa
CFP 13816/2018,26/11/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9547620&tipo=corrupcion-administrativa
CFP 13816/2018,19/11/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9535312&tipo=corrupcion-administrativa
CFP 13816/2018,19/11/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9535309&tipo=corrupcion-administrativa
CFP 13816/2018,28/08/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9354320&tipo=corrupcion-administrativa
CFP 13816/2018,27/08/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9350273&tipo=corrupcion-administrativa
CFP 13816/2018,27/08/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9350210&tipo=corrupcion-administrativa
CFP 13816/2018,18/08/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9324474&tipo=corrupcion-administrativa
CFP 13816/2018,12/08/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9312518&tipo=corrupcion-administrativa
CFP 13816/2018,27/07/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272713&tipo=corrupcion-administrativa
CFP 13816/2018,27/07/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272915&tipo=corrupcion-administrativa
CFP 13816/2018,18/06/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9200126&tipo=corrupcion-administrativa
CFP 13816/2018,21/02/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9050037&tipo=corrupcion-administrativa
CFP 13816/2018,21/02/2020,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9052723&tipo=corrupcion-administrativa
CFP 13816/2018,13/12/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8913305&tipo=corrupcion-administrativa
CFP 13816/2018,05/12/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8882228&tipo=corrupcion-administrativa
CFP 13816/2018,04/12/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8875052&tipo=corrupcion-administrativa
CFP 13816/2018,28/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8854799&tipo=corrupcion-administrativa
CFP 13816/2018,21/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8827653&tipo=corrupcion-administrativa
CFP 13816/2018,21/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8840768&tipo=corrupcion-administrativa
CFP 13816/2018,21/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8825698&tipo=corrupcion-administrativa
CFP 13816/2018,11/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8795941&tipo=corrupcion-administrativa
CFP 13816/2018,11/11/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8795898&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747528&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747566&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747355&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747321&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747628&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747415&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747605&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747511&tipo=corrupcion-administrativa
CFP 13816/2018,29/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747458&tipo=corrupcion-administrativa
CFP 13816/2018,17/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702273&tipo=corrupcion-administrativa
CFP 13816/2018,17/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702686&tipo=corrupcion-administrativa
CFP 13816/2018,17/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702463&tipo=corrupcion-administrativa
CFP 13816/2018,17/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702337&tipo=corrupcion-administrativa
CFP 13816/2018,17/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702182&tipo=corrupcion-administrativa
CFP 13816/2018,17/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702469&tipo=corrupcion-administrativa
CFP 13816/2018,04/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8660869&tipo=corrupcion-administrativa
CFP 13816/2018,04/10/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8660953&tipo=corrupcion-administrativa
CFP 13816/2018,30/09/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8638907&tipo=corrupcion-administrativa
CFP 13816/2018,19/07/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8371433&tipo=corrupcion-administrativa
CFP 13816/2018,02/07/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8313105&tipo=corrupcion-administrativa
CFP 13816/2018,15/05/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8101398&tipo=corrupcion-administrativa
CFP 13816/2018,15/05/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8101489&tipo=corrupcion-administrativa
CFP 13816/2018,15/05/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8102378&tipo=corrupcion-administrativa
CFP 13816/2018,15/05/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8102424&tipo=corrupcion-administrativa
CFP 13816/2018,11/04/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7950596&tipo=corrupcion-administrativa
CFP 13816/2018,29/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7892714&tipo=corrupcion-administrativa
CFP 13816/2018,29/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7893073&tipo=corrupcion-administrativa
CFP 13816/2018,29/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7893067&tipo=corrupcion-administrativa
CFP 13816/2018,29/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7893024&tipo=corrupcion-administrativa
CFP 13816/2018,20/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7850374&tipo=corrupcion-administrativa
CFP 13816/2018,15/03/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=7830350&tipo=corrupcion-administrativa
