Expediente,EstadoSolapa,Resolución
CFP 9326/2013,En trámite,25/08/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,23/03/2022: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 1
CFP 9326/2013,En trámite,04/02/2022: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 1
CFP 9326/2013,En trámite,07/10/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,09/09/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,03/06/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,20/05/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,27/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,04/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,28/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9326/2013,En trámite,08/08/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 9608/2018,En trámite,28/08/2025: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,06/12/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,18/10/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,13/08/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,26/06/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,25/03/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,22/03/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,29/02/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,27/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,19/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,12/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,12/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,12/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,05/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,09/11/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,03/11/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,11/10/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,04/10/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,28/09/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,31/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,23/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,22/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
