numero_expediente,fecha,nombre,link
FCB 32023375/2012,2015-07-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3441506&tipo=corrupcion-administrativa
CFP 13816/2018,2025-10-13,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=14068982&tipo=corrupcion-administrativa
CFP 13816/2018,2025-10-06,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=14047856&tipo=corrupcion-administrativa
CFP 13816/2018,2025-09-11,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13958254&tipo=corrupcion-administrativa
CFP 13816/2018,2025-09-08,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13942261&tipo=corrupcion-administrativa
CFP 13816/2018,2025-07-16,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=13790615&tipo=corrupcion-administrativa
CFP 13816/2018,2024-07-12,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12812153&tipo=corrupcion-administrativa
CFP 13816/2018,2024-07-04,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12791816&tipo=corrupcion-administrativa
CFP 13816/2018,2024-05-22,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12665883&tipo=corrupcion-administrativa
CFP 13816/2018,2024-05-09,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12678918&tipo=corrupcion-administrativa
CFP 13816/2018,2024-05-06,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12615330&tipo=corrupcion-administrativa
CFP 13816/2018,2024-04-17,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12561909&tipo=corrupcion-administrativa
CFP 13816/2018,2024-04-10,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12540730&tipo=corrupcion-administrativa
CFP 13816/2018,2024-03-26,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12508722&tipo=corrupcion-administrativa
CFP 13816/2018,2024-02-29,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12432206&tipo=corrupcion-administrativa
CFP 13816/2018,2023-12-19,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12309616&tipo=corrupcion-administrativa
CFP 13816/2018,2023-12-12,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12289126&tipo=corrupcion-administrativa
CFP 13816/2018,2023-12-12,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,scp/include/showFile.php?acc=showFAR&id=12288336&tipo=corrupcion-administrativa
CFP 13816/2018,2023-06-09,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11772827&tipo=corrupcion-administrativa
CFP 13816/2018,2022-12-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=11352798&tipo=corrupcion-administrativa
CFP 13816/2018,2021-03-03,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9688294&tipo=corrupcion-administrativa
CFP 13816/2018,2020-12-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9590679&tipo=corrupcion-administrativa
CFP 13816/2018,2020-12-01,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557323&tipo=corrupcion-administrativa
CFP 13816/2018,2020-12-01,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557273&tipo=corrupcion-administrativa
CFP 13816/2018,2020-12-01,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557268&tipo=corrupcion-administrativa
CFP 13816/2018,2020-12-01,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9557321&tipo=corrupcion-administrativa
CFP 13816/2018,2020-11-26,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9547620&tipo=corrupcion-administrativa
CFP 13816/2018,2020-11-19,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9535312&tipo=corrupcion-administrativa
CFP 13816/2018,2020-11-19,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9535309&tipo=corrupcion-administrativa
CFP 13816/2018,2020-08-28,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9354320&tipo=corrupcion-administrativa
CFP 13816/2018,2020-08-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9350273&tipo=corrupcion-administrativa
CFP 13816/2018,2020-08-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9350210&tipo=corrupcion-administrativa
CFP 13816/2018,2020-08-18,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9324474&tipo=corrupcion-administrativa
CFP 13816/2018,2020-08-12,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9312518&tipo=corrupcion-administrativa
CFP 13816/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272713&tipo=corrupcion-administrativa
CFP 13816/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272915&tipo=corrupcion-administrativa
CFP 13816/2018,2020-06-18,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9200126&tipo=corrupcion-administrativa
CFP 13816/2018,2020-02-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9050037&tipo=corrupcion-administrativa
CFP 13816/2018,2020-02-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9052723&tipo=corrupcion-administrativa
CFP 13816/2018,2019-12-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8913305&tipo=corrupcion-administrativa
CFP 13816/2018,2019-12-05,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8882228&tipo=corrupcion-administrativa
CFP 13816/2018,2019-12-04,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8875052&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-28,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8854799&tipo=corrupcion-administrativa
