tribunal_id,juez_id,cargo,situacion
31,1,Juez de Cámara de Casacion,Efectivo
31,2,Juez de Cámara de Casacion,Efectivo
31,3,Juez de Cámara de Casacion,Efectivo
32,4,Prosecretario de Cámara,Efectivo
33,2,Juez de Cámara de Casacion,Efectivo
33,5,Juez de Cámara de Casacion,Efectivo
33,1,Juez de Cámara de Casacion,Efectivo
33,6,Secretario de Cámara,Efectivo
34,7,Juez de Cámara de Casacion,Efectivo
34,8,Juez de Cámara de Casacion,Efectivo
34,3,Juez de Cámara de Casacion,Efectivo
34,9,Secretario de Cámara,Efectivo
35,10,Juez de Cámara de Casacion,Efectivo
35,11,Juez de Cámara de Casacion,Efectivo
35,12,Secretario de Cámara,Efectivo
35,13,Juez de Cámara de Casacion,Efectivo
36,13,Juez de Cámara de Casacion,Efectivo
36,14,Juez de Cámara de Casacion,Efectivo
36,5,Juez de Cámara de Casacion,Efectivo
36,15,Secretario de Cámara,Efectivo
37,16,Juez de Cámara,Efectivo
37,17,Juez de Cámara,Efectivo
37,18,Juez de Cámara,Efectivo
38,19,Juez de Cámara,Efectivo
38,20,Juez de Cámara,Efectivo
38,16,Juez de Cámara,Efectivo
38,21,Secretario de Cámara,Efectivo
38,22,Secretario de Cámara,Efectivo
38,23,Prosecretario de Cámara,Interino
39,18,Juez de Cámara,Efectivo
39,24,Juez de Cámara,Efectivo
39,17,Juez de Cámara,Efectivo
40,25,Juez de 1ra. Instancia,Efectivo
41,26,Secretario de Juzgado,Interino
42,27,Secretario de Juzgado,Efectivo
43,28,Juez de 1ra. Instancia,Efectivo
44,29,Secretario de Juzgado,Efectivo
45,30,Secretario de Juzgado,Efectivo
46,31,Juez de 1ra. Instancia,Efectivo
47,32,Secretario de Juzgado,Efectivo
48,33,Secretario de Juzgado,Efectivo
49,34,Juez de 1ra. Instancia,Efectivo
50,35,Secretario,Efectivo
51,36,Secretario,Efectivo
52,37,Juez de 1ra. Instancia,Efectivo
53,38,Juez de Cámara,Efectivo
54,39,Secretario de Juzgado,Contratado
56,40,Secretario de Juzgado,Efectivo
56,41,Secretario de Juzgado,Efectivo
57,42,Secretario de Juzgado,Efectivo
58,43,Juez de 1ra. Instancia,Efectivo
59,44,Secretario,Efectivo
60,45,Secretario de Juzgado,Efectivo
61,46,Juez de 1ra. Instancia,Efectivo
62,47,Secretario,Efectivo
63,48,Secretario,Efectivo
64,49,Secretario de Juzgado,Efectivo
65,50,Secretario de Juzgado,Efectivo
66,51,Secretario de Juzgado,Efectivo
66,52,Juez de Cámara,Efectivo
67,53,Juez de 1ra. Instancia,Efectivo
68,54,Secretario,Efectivo
69,55,Secretario,Efectivo
70,43,Juez de 1ra. Instancia,Efectivo
71,56,Secretario de Juzgado,Efectivo
72,57,Secretario de Juzgado,Contratado
73,53,Juez de 1ra. Instancia,Efectivo
74,58,Secretario de Juzgado,Efectivo
75,59,Secretario de Juzgado,Efectivo
76,60,Juez de Cámara,Efectivo
76,61,Juez de Cámara,Efectivo
76,62,Juez de Cámara,Efectivo
76,63,Juez de Cámara,Efectivo
76,64,Secretario de Cámara,Efectivo
76,65,Secretario de Cámara,Efectivo
76,66,Secretario,Efectivo
76,67,Secretario,Efectivo
77,68,Juez de Cámara,Efectivo
77,69,Juez de Cámara,Subrogante
77,70,Secretario,Efectivo
78,71,Juez de Cámara,Efectivo
78,72,Juez de Cámara,Efectivo
78,73,Secretario de Juzgado,Efectivo
78,74,Secretario de Cámara,Contratado
78,75,Secretario,Contratado
78,76,Secretario,Contratado
78,77,Secretario,Efectivo
79,78,Juez de Cámara,Efectivo
79,79,Juez de Cámara,Efectivo
79,61,Juez de Cámara,Efectivo
79,80,Secretario de Cámara,Efectivo
79,81,Secretario de Cámara,Efectivo
79,82,Secretario de Cámara,Efectivo
80,83,Juez de Cámara,Efectivo
80,84,Juez de Cámara,Efectivo
80,85,Juez de Cámara,Subrogante
80,86,Secretario de Cámara,Efectivo
80,87,Secretario de Cámara,Efectivo
80,88,Secretario,Contratado
80,89,Secretario de Juzgado,Efectivo
80,90,Secretario,Efectivo
80,91,Secretario,Efectivo
80,92,Secretario de Juzgado,Efectivo
80,93,Secretario de Juzgado,Efectivo
80,94,Secretario de Juzgado,Efectivo
80,95,Secretario de Juzgado,Contratado
81,84,Juez de Cámara,Efectivo
81,62,Juez de Cámara,Efectivo
81,96,Juez de Cámara,Subrogante
81,97,Secretario de Cámara,Contratado
81,98,Secretario de Juzgado,Subrogante
81,99,Secretario de Juzgado,Efectivo
81,100,Secretario de Juzgado,Efectivo
81,101,Secretario de Juzgado,Efectivo
81,102,Secretario de Juzgado,Efectivo
81,103,Secretario de Juzgado,Efectivo
82,104,Juez de Cámara,Efectivo
82,79,Juez de Cámara,Efectivo
82,105,Juez de Cámara,Efectivo
82,106,Secretario de Cámara,Efectivo
82,107,Secretario de Juzgado,Efectivo
82,108,Secretario de Juzgado,Contratado
82,109,Secretario,Contratado
82,110,Secretario de Juzgado,Interino
83,111,Juez de Cámara,Subrogante
83,112,Juez de Cámara,Efectivo
83,113,Juez de Cámara,Efectivo
83,114,Secretario de Cámara,Efectivo
83,115,Juez de Cámara,Efectivo
