nombre,fuero
CORTE SUPREMA DE JUSTICIA DE LA NACIÓN - SECRETARÍA JUDICIAL Nº 3,Penal Federal
CAMARA FEDERAL DE CASACION PENAL - SALA 3,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 8,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 9,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Penal Federal
CORTE SUPREMA DE JUSTICIA DE LA NACIÓN - SECRETARÍA PENAL ESPECIAL,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Penal Federal
JUZGADO CRIM. Y CORR. FEDERAL DE LA PLATA 3,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,Penal Federal
CAMARA FEDERAL DE CASACION PENAL - SALA DE FERIA,Penal Federal
CAMARA FEDERAL DE CASACION PENAL - SALA 2,Penal Federal
CAMARA FEDERAL DE CASACION PENAL - SALA 4,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 10,Penal Federal
CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 1,Penal Federal
CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 5,Penal Federal
CAMARA FEDERAL DE CASACION PENAL - SALA 1,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 8,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 4,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 3,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 12,Penal Federal
TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 6,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 5,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 6,Penal Federal
JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 2,Penal Federal
