Expediente,Orden,Fecha,Juzgado,Fiscal,Fiscalia
CCC 20506/2025,1,12/06/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CFP 4102/2025,1,26/09/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 3735/2025,1,08/09/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 3734/2025,1,08/09/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 3236/2025,1,07/08/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CFP 3159/2025,1,01/09/2025,JUZGADO CRIM. Y CORR. FEDERAL DE LA PLATA 3,Fiscal: DRA. MARIA LAURA ROTETA,FISCALIA ANTE JUZGADO FEDERAL DE LA PLATA N° 1
CFP 2738/2025,1,23/09/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,Fiscal: DR. DIEGO SEBASTIAN LUCIANI,FISCALIA ANTE LOS TRIB. ORALES EN LO CRIM. FED. N° 1
CFP 2738/2025,2,08/07/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 10,Fiscal: DR. CARLOS A. RIVOLO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 6
CFP 2684/2025,1,03/07/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CFP 2658/2025,1,02/07/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CFP 2488/2025,1,01/09/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 4,Fiscal: DRA. MARIA ALEJANDRA MANGANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 12
CFP 2433/2025,1,17/06/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 8,Fiscal: DR. EDUARDO RAUL TAIANO (SUBROGANTE),FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 8
CFP 1967/2025,1,15/05/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 2,Fiscal: DR. CARLOS A. RIVOLO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 2
CFP 1961/2025,1,15/05/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 1657/2025,1,23/04/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 1547/2025,1,15/04/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 1430/2025,1,07/04/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 12,Fiscal: DR. CARLOS ERNESTO STORNELLI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 4
CFP 1372/2025,1,04/07/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 2,Fiscal: DR. DIEGO SEBASTIAN LUCIANI,FISCALIA ANTE LOS TRIB. ORALES EN LO CRIM. FED. N° 1
CFP 1372/2025,2,03/04/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 10,Fiscal: DR. CARLOS A. RIVOLO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 6
CFP 1164/2025,1,25/03/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 12,Fiscal: DR. CARLOS ERNESTO STORNELLI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 4
CFP 1125/2025,1,20/03/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 803/2025,1,29/09/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 803/2025,2,05/03/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 2,Fiscal: DR. CARLOS A. RIVOLO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 2
CFP 709/2025,1,25/02/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 10,Fiscal: DR. FEDERICO DELGADO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 6
CFP 677/2025,1,24/02/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
CFP 347/2025,1,03/02/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CFP 308/2025,1,30/01/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 6,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
CFP 305/2025,1,16/05/2025,CAMARA FEDERAL DE CASACION PENAL - SALA 3,Fiscal: DR. RAUL OMAR PLEE,FISCALIA ANTE LA CAMARA FEDERAL DE CASACION PENAL N° 2
CFP 305/2025,2,19/03/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CFP 305/2025,3,12/03/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,Fiscal: DR. FRANCO PICARDI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 5
CFP 271/2025,1,28/01/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,Fiscal: DR. FRANCO PICARDI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 5
CFP 240/2025,1,24/01/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CFP 239/2025,1,23/04/2025,JUZGADO FEDERAL DE ELDORADO,Fiscal: DRA. LILIAM EDITH DELGADO,FISCALIA FEDERAL DE ELDORADO
CFP 226/2025,1,18/02/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,Fiscal: DR. FRANCO PICARDI,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 5
CFP 15/2025,1,03/01/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
CCC 67135/2024,1,16/12/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
CCC 38767/2024,1,11/06/2025,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 8,Fiscal: DR. MARCELO COLOMBO,FISCALIA ANTE LOS TRIB. ORALES EN LO CRIM. FED. N° 8
CCC 38767/2024,2,30/04/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,Fiscal: DR. JOSE LUIS AGUERO ITURBE,FISCALIA NAC. ANTE LA CAMARA EN LO CRIM. Y CORR. FEDERAL
CCC 38767/2024,3,29/08/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
FMZ 28425/2024,1,21/07/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DR GUILLERMO F. MARIJUAN,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 9
FSM 12974/2024,1,25/02/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 8,Fiscal: DR. EDUARDO RAUL TAIANO (SUBROGANTE),FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 8
FSM 10367/2024,1,30/04/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 2,Fiscal: DR. EDUARDO RAUL TAIANO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 3
FPA 5667/2024,1,15/08/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
FTU 5653/2024,1,16/05/2025,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 8,Fiscal: DR. EDUARDO RAUL TAIANO (SUBROGANTE),FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 8
CFP 5523/2024,1,09/01/2025,JUZGADO FEDERAL DE RESISTENCIA 1,"Fiscal: DR. SABADINI, PATRICIO NICOLAS",FISCALIA DE RESISTENCIA
CFP 5358/2024,1,19/12/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
CFP 5275/2024,1,12/12/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
CFP 5245/2024,1,11/12/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
CFP 5239/2024,1,11/12/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,Fiscal: DRA. MARIA PALOMA OCHOA,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 10
CFP 5150/2024,1,09/12/2024,JUZGADO FEDERAL DE NEUQUEN 2,Fiscal: DRA. ANGELA PAGANO - SUBROGANTE,FISCALIA FEDERAL N° 1 DE NEUQUEN
CFP 3949/2024,1,20/09/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 9,Fiscal: DR. EDUARDO RAUL TAIANO (SUBROGANTE),FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 8
CFP 3841/2024,1,17/12/2024,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,Fiscal: DR. JUAN PATRICIO GARCIA ELORRIO,FISCALIA ANTE LOS TRIB. ORALES EN LO CRIM. FED. N° 4
CFP 3841/2024,2,16/09/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 9,Fiscal: DR. EDUARDO RAUL TAIANO (SUBROGANTE),FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 8
CFP 3689/2024,1,09/09/2024,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,Fiscal: DR. FEDERICO DELGADO,FISCALIA NAC. EN LO CRIM. Y CORR. FED. N° 6
