nivel,path,titulo,detalle,responsables
2,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL,CÁMARA FEDERAL DE CASACIÓN PENAL,"Comodoro Py 2002, PISO 1º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7476 | cfcasacionpenal.secgeneral@pjn.gov.ar","Nombre: Dr. Petrone, Daniel Antonio | Cargo: Presidente | Tel: Dr. Petrone, Daniel Antonio | Email:  | Teléfono: 4032-7397 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Barroetaveña, Diego Gustavo | Cargo: Vicepresidente 1ro. | Tel: Dr. Barroetaveña, Diego Gustavo | Email:  | Teléfono: 4032-7404 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Yacobucci, Guillermo Jorge | Cargo: Vicepresidente 2do. | Tel: Dr. Yacobucci, Guillermo Jorge | Email:  | Teléfono: 4032-7410 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo"
3,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL,SECRETARÍA DE JURISPRUDENCIA,"Comodoro Py 2002, 9º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7379/80 (Fax 4032-7384) | cfcasacionpenal.jurisprudencia@pjn.gov.ar","Nombre: Dra. Hopp, Cecilia | Cargo: Coordinador | Tel: Dra. Hopp, Cecilia | Email:  | Teléfono: 4032-7380 | Email:  | Cargo: Prosecretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA I - CASACIÓN PENAL,"Comodoro Py 2002, 1° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7402 | cfcasacionpenal.sala1@pjn.gov.ar","Nombre: Dr. Barroetaveña, Diego Gustavo | Cargo: Presidente | Tel: Dr. Barroetaveña, Diego Gustavo | Email:  | Teléfono: 4032-7404 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Hornos, Gustavo M. | Cargo: Vicepresidente | Tel: Dr. Hornos, Gustavo M. | Email:  | Teléfono: 4032-7436 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Petrone, Daniel Antonio | Cargo: Vocal | Tel: Dr. Petrone, Daniel Antonio | Email:  | Teléfono: 4032-7397 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Magnone, Walter Daniel | Cargo: Secretario | Tel: Dr. Magnone, Walter Daniel | Email:  | Teléfono: 4032-7399 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA II - CASACIÓN PENAL,"Comodoro Py 2002, 1° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7414/5 | cfcasacionpenal.sala2@pjn.gov.ar","Nombre: Dra. Ledesma, Angela Ester | Cargo: Presidente | Tel: Dra. Ledesma, Angela Ester | Email:  | Teléfono: 4032-7492 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Slokar, Alejandro Walter | Cargo: Vicepresidente | Tel: Dr. Slokar, Alejandro Walter | Email:  | Teléfono: 4032-7431 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Yacobucci, Guillermo Jorge | Cargo: Vocal | Tel: Dr. Yacobucci, Guillermo Jorge | Email:  | Teléfono: 4032-7410 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Tellechea Suárez, Mariana Andrea | Cargo: Secretario | Tel: Dra. Tellechea Suárez, Mariana Andrea | Email:  | Teléfono: 4032-7413 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA III - CASACIÓN PENAL,"Comodoro Py 2002, 1° piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7428 | cfcasacionpenal.sala3@pjn.gov.ar","Nombre: Dr. Mahiques, Carlos Alberto | Cargo: Presidente | Tel: Dr. Mahiques, Carlos Alberto | Email:  | Teléfono: 4032-7408/7370 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Gemignani, Juan Carlos | Cargo: Vicepresidente | Tel: Dr. Gemignani, Juan Carlos | Email:  | Teléfono: 4032-7394 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Raposeiras, Lucía del Pilar | Cargo: Secretario | Tel: Dra. Raposeiras, Lucía del Pilar | Email:  | Teléfono: 4032-7425 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo; Nombre: Dr. Borinsky, Mariano Hernán | Cargo: Vocal | Tel: Dr. Borinsky, Mariano Hernán | Email:  | Teléfono: 4032-7433 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo"
4,FUEROS CON COMPETENCIA EN TODO EL PAÍS > JUSTICIA FEDERAL DE CASACIÓN PENAL > CÁMARA FEDERAL DE CASACIÓN PENAL > SALAS,SALA IV - CASACIÓN PENAL,"Comodoro Py 2002, 1º piso (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7441 | cfcasacionpenal.sala4@pjn.gov.ar","Nombre: Dr. Borinsky, Mariano Hernán | Cargo: Presidente | Tel: Dr. Borinsky, Mariano Hernán | Email:  | Teléfono: 4032-7433 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Carbajo, Javier | Cargo: Vicepresidente | Tel: Dr. Carbajo, Javier | Email:  | Teléfono: 4032-7417 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dr. Hornos, Gustavo M. | Cargo: Vocal | Tel: Dr. Hornos, Gustavo M. | Email:  | Teléfono: 4032-7436 | Email:  | Cargo: Juez de Cámara de Casacion | Situación: Efectivo; Nombre: Dra. Sircovich, Jesica Yael | Cargo: Secretario | Tel: Dra. Sircovich, Jesica Yael | Email:  | Teléfono:  | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo"
2,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL,CÁMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL,Comodoro Py 2002 (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032 7575,"Nombre: Dr. Llorens, Mariano | Cargo: Presidente | Tel: Dr. Llorens, Mariano | Email:  | Teléfono: 4032-7512 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Farah, Eduardo Guillermo | Cargo: Vicepresidente 1ro. | Tel: Dr. Farah, Eduardo Guillermo | Email:  | Teléfono: 4032-7517 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Boico, Roberto | Cargo: Vicepresidente 2do. | Tel: Dr. Boico, Roberto | Email:  | Teléfono: 4032-7402 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > CÁMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL > SALAS,SALA I CRIMINAL Y CORRECCIONAL FEDERAL,"Comodoro Py 2002, 2º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7546/7517 | cncrimcorrfed.sala1@pjn.gov.ar","Nombre: Dr. Bertuzzi, Pablo Daniel | Cargo: Presidente | Tel: Dr. Bertuzzi, Pablo Daniel | Email:  | Teléfono: 4032-7536 / 4032-7537 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Bruglia, Leopoldo Oscar | Cargo: Vicepresidente | Tel: Dr. Bruglia, Leopoldo Oscar | Email:  | Teléfono: 4032-7526 / 4032-7527 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Llorens, Mariano | Cargo: Vocal | Tel: Dr. Llorens, Mariano | Email:  | Teléfono: 4032-7512 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dra. Quinteros, Ivana Sandra | Cargo: Secretario | Tel: Dra. Quinteros, Ivana Sandra | Email:  | Teléfono: 4032-7542 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo; Nombre: Dra. Talarico, Maria Victoria | Cargo: Secretario | Tel: Dra. Talarico, Maria Victoria | Email:  | Teléfono: 4032-7544 | Email:  | Cargo: Secretario de Cámara | Situación: Efectivo; Nombre: Dr. Pozzi, Dario Anibal | Cargo: Prosecretario de Cámara | Tel: Dr. Pozzi, Dario Anibal | Email:  | Teléfono: 4032-7545 | Email:  | Cargo: Prosecretario de Cámara | Situación: Interino"
4,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > CÁMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL > SALAS,SALA II CRIMINAL Y CORRECCIONAL FEDERAL,"Comodoro Py 2002, 2º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7551/7522 | cncrimcorrfed.sala2@pjn.gov.ar","Nombre: Dr. Boico, Roberto | Cargo: Presidente | Tel: Dr. Boico, Roberto | Email:  | Teléfono: 4032-7402 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Irurzun, Martin | Cargo: Vicepresidente | Tel: Dr. Irurzun, Martin | Email:  | Teléfono: 4032-7532 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo; Nombre: Dr. Farah, Eduardo Guillermo | Cargo: Vocal | Tel: Dr. Farah, Eduardo Guillermo | Email:  | Teléfono: 4032-7517 | Email:  | Cargo: Juez de Cámara | Situación: Efectivo"
3,FUEROS FEDERALES > JUSTICIA NACIONAL EN LO CRIMINAL Y CORRECCIONAL FEDERAL > JUZGADOS,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL NRO. 1,"Comodoro Py 2002, 3º (C1104BEN) | Ciudad Autónoma de Buenos Aires | 4032-7102 | jncrimcorrfed1@pjn.gov.ar","Nombre: Dra. Servini, Maria Romilda | Cargo: Juez | Tel: Dra. Servini, Maria Romilda | Email: jncrimcorrfed1@pjn.gov.ar | Teléfono: 4371-4732 4371-1330 | Email: jncrimcorrfed1@pjn.gov.ar | Cargo: Juez de 1ra. Instancia | Situación: Efectivo"
